Card,Type,Learned_Value,Std_Error,Early_Bonus,Mid_Bonus,Late_Bonus
Superconductors,patent,-3.8,0.0,53.2,-60.8,0
Energy Vault,patent,46.0,0.0,45.9,46.2,0
Financial Instruments,patent,6.5,0.0,15.0,-2.0,0
Water Engine,patent,-36.3,0.0,-9.2,-63.4,0
Nanotechnology,patent,8.9,0.0,17.7,0.1,0
Cold Fusion,patent,1.2,0.0,-18.6,21.0,0
Virtual Reality,patent,-2.1,0.0,25.5,-29.6,0
Perpetual Motion,patent,-18.0,0.0,29.7,-65.8,0
Carbon Scrubbing,patent,-14.8,0.0,34.4,-64.0,0
Slant Drilling,patent,-17.0,0.0,-31.7,-2.3,0
Thinking Machines,patent,-17.5,0.0,0.8,-35.8,0
Teleportation,patent,-13.3,0.0,10.7,-37.4,0
Matter Replication,patent,0.0,0.0,0.0,0.0,0
