Alternate,Slot,Building,Cost,Rates,Effect
C/SI,1,Solar Panel,1 SI,+2 PWR,
H2O/FE,1,Solar Panel,1 SI,+2 PWR,
O2/FOOD,1,Solar Panel,1 SI,+2 PWR,
Contract,1,Solar Panel,1 SI,+2 PWR,
H2O/FE,1,Solar Array,2 SI,+3 PWR,
O2/FOOD,1,Solar Array,2 SI,+3 PWR,
C/SI,1,Wind Turbine,1 C,+2 PWR,
H2O/FE,1,Wind Turbine,1 C,+2 PWR,
GLS/ELX,1,Wind Turbine,1 C,+2 PWR,
Contract,1,Wind Turbine,1 C,+2 PWR,
H2O/FE,1,Wind Array,2 C,+3 PWR,
C/SI,1,Wind Array,2 C,+3 PWR,
H2O/FE,1,Geothermal Plant,2 FE,+3 PWR,
O2/FOOD,1,Geothermal Plant,2 FE,+3 PWR,
GLS/ELX,1,Geothermal Plant,2 FE,+3 PWR,
Contract,1,Geothermal Plant,2 FE,+3 PWR,
O2/FOOD,1,Geothermal Borehole,3 FE,+4 PWR,
H2O/FE,1,Water Pump,1 FE,"-1 PWR, +1 H2O",
GLS/ELX,1,Water Pump,1 FE,"-1 PWR, +1 H2O",
O2/FOOD,1,Water Pump,1 FE,"-1 PWR, +1 H2O",
H2O/FE,1,Water Pump,1 FE,"-1 PWR, +1 H2O",
Contract,1,Water Pump,1 FE,"-1 PWR, +1 H2O",
Contract,1,Water Pump,1 FE,"-1 PWR, +1 H2O",
H2O/FE,1,Deep Water Pump,3 FE,"-1 PWR, +2 H2O",
O2/FOOD,1,Deep Water Pump,3 FE,"-1 PWR, +2 H2O",
Contract,1,Deep Water Pump,3 FE,"-1 PWR, +2 H2O",
C/SI,1,Ice Condensor,1 GLS,+1 H2O,
Contract,1,Ice Condensor,1 GLS,+1 H2O,
GLS/ELX,1,Ice Condensor,1 GLS,+1 H2O,
C/SI,1,Ice Condensor,1 GLS,+1 H2O,
C/SI,1,Domed Ice Condenser,3 GLS,+2 H2O,
O2/FOOD,1,Electrolysis Reactor,"1 FE, 1 C","+1 PWR, -1 H2O, +1 O2",
GLS/ELX,1,Electrolysis Reactor,"1 FE, 1 C","+1 PWR, -1 H2O, +1 O2",
GLS/ELX,1,Electrolysis Reactor,"1 FE, 1 C","+1 PWR, -1 H2O, +1 O2",
Contract,1,Electrolysis Reactor,"1 FE, 1 C","+1 PWR, -1 H2O, +1 O2",
H2O/FE,1,Oxygen Recycler,"1 FE, 1 SI","-1 PWR, +1 O2",
O2/FOOD,1,Oxygen Recycler,"1 FE, 1 SI","-1 PWR, +1 O2",
Contract,2,Iron Mine,,"-2 PWR, +1 FE",
GLS/ELX,2,Iron Mine,,"-2 PWR, +1 FE",
H2O/FE,2,Iron Mine,,"-2 PWR, +1 FE",
C/SI,2,Iron Mine,,"-2 PWR, +1 FE",
GLS/ELX,2,Iron Mine,,"-2 PWR, +1 FE",
H2O/FE,2,Iron Mine,,"-2 PWR, +1 FE",
Contract,2,Iron Mine,,"-2 PWR, +1 FE",
C/SI,2,Deep Iron Mine,2 C,"-2 PWR, +2 FE",
GLS/ELX,2,Deep Iron Mine,2 C,"-2 PWR, +2 FE",
Contract,2,Deep Iron Mine,2 C,"-2 PWR, +2 FE",
O2/FOOD,2,Silicon Quarry,1 FE,"-1 PWR, +1 SI",
