Card,Type,Learned_Value,Std_Error
Pleasure Dome,special,36.2,4.0
Optimization Center,special,-80.8,5.0
Space Elevator,special,-66.5,5.3
Hacker Array,special,-26.0,4.9
Launch Pad,special,-17.7,4.2
Patent Office,special,-49.6,6.0
Superconductors,patent,13.1,5.7
Energy Vault,patent,72.7,5.6
Financial Instruments,patent,19.2,5.8
Water Engine,patent,5.7,5.5
Nanotechnology,patent,15.9,5.8
Cold Fusion,patent,2.3,5.7
Virtual Reality,patent,10.6,5.7
Perpetual Motion,patent,13.8,5.5
Carbon Scrubbing,patent,3.8,5.7
Slant Drilling,patent,-15.6,5.6
Thinking Machines,patent,-9.9,5.7
Teleportation,patent,35.2,5.8
