Resource1,Resource2,Resource3,Reward,Count
3 H2O,,,$50,1
2 H2O,1 O2,,$50,1
2 H2O,1 FOOD,,$50,1
2 H2O,1 GLS,,$50,1
2 H2O,1 ELX,,$50,1
3 O2,,,$50,1
2 O2,1 H2O,,$50,1
2 O2,1 FOOD,,$50,1
2 O2,1 GLS,,$50,1
2 O2,1 ELX,,$50,1
3 FOOD,,,$50,1
2 FOOD,1 H2O,,$50,1
2 FOOD,1 O2,,$50,1
2 FOOD,1 GLS,,$50,1
2 FOOD,1 ELX,,$50,1
3 GLS,,,$50,1
2 GLS,1 H2O,,$50,1
2 GLS,1 O2,,$50,1
2 GLS,1 FOOD,,$50,1
2 GLS,1 ELX,,$50,1
3 ELX,,,$50,1
2 ELX,1 H2O,,$50,1
2 ELX,1 O2,,$50,1
2 ELX,1 FOOD,,$50,1
2 ELX,1 GLS,,$50,1
1 O2,1 FOOD,1 GLS,$50,1
1 O2,1 FOOD,1 ELX,$50,1
1 O2,1 GLS,1 ELX,$50,1
1 FOOD,1 GLS,1 ELX,$50,1
