Name,Type,Payload
Colonist Shuttle,rate_all,"PWR: -1, O2: -1"
Population Growth,rate_all,"PWR: -1, FOOD: -1"
Infrastructure Added,rate_all,"PWR: -1, H2O: -1"
MARSQUAKE,rate_all,"PWR: -1, FE: -1"
Wage Increases,rate_all,"GLS: -1, ELX: -1"
Life Support Volatile,market_random,"H2O, O2, FOOD"
Raw Materials Volatile,market_random,"FE, C, SI"
Consumer Goods Volatile,market_random,"GLS, ELX"
Power Market Volatile,market_random_x2,PWR
All Quiet,,
Debt Collection,trigger,debt_collection
Power Bill,trigger,power_bill
Futures Settlement,trigger,futures_settlement
